disease,information,recommendation,medicine,symptoms 
Graves’ Disease,Autoimmune disorder leading to overactive thyroid (hyperthyroidism).,"Antithyroid medications, radioactive iodine, or surgery.",Methimazole,"Weight loss, rapid heartbeat, nervousness"
Hashimoto’s Thyroiditis,Autoimmune disorder causing an underactive thyroid (hypothyroidism).,Hormone replacement therapy.,Levothyroxine,"Fatigue, weight gain, cold intolerance"
Pernicious Anemia,Autoimmune condition where the body can't absorb enough vitamin B12.,Vitamin B12 injections or supplements.,Cyanocobalamin,"Fatigue, weakness, pale skin"
Vitamin B12 Deficiency,Lack of sufficient vitamin B12 affecting red blood cell production.,Dietary changes and B12 supplements.,Cyanocobalamin,"Fatigue, weakness, tingling in hands and feet"
Sideroblastic Anemia,Group of blood disorders characterized by the body's inability to properly incorporate iron into hemoglobin.,Vitamin B6 supplements and managing underlying causes.,Pyridoxine,"Fatigue, weakness, shortness of breath"
Thalassemia,Inherited blood disorder causing the body to make abnormal hemoglobin.,Regular blood transfusions and chelation therapy.,Deferoxamine,"Fatigue, weakness, pale or yellowish skin"
Hemophilia,Genetic disorder impairing the blood's ability to clot.,Regular replacement of the specific clotting factor.,Factor VIII or IX,"Excessive bleeding, easy bruising, joint pain"
Von Willebrand Disease,Inherited bleeding disorder caused by deficiency of von Willebrand factor.,Desmopressin and clotting factor replacement.,Desmopressin,"Excessive bleeding, easy bruising, nosebleeds"
Multiple Myeloma,Cancer of plasma cells in the bone marrow.,"Chemotherapy, stem cell transplant, and medications.",Bortezomib,"Bone pain, fatigue, frequent infections"
Leukemia,"Cancer of blood-forming tissues, hindering the body's ability to fight infection.","Chemotherapy, radiation therapy, and stem cell transplant.",Imatinib,"Fatigue, frequent infections, easy bruising"
Lymphoma,A type of cancer that begins in the lymphatic system.,"Chemotherapy, radiation, and immunotherapy.","Rituximab, CHOP regimen","Swollen lymph nodes, fever, night sweats"
Non-Hodgkin Lymphoma,A group of blood cancers that includes all types of lymphoma except Hodgkin's lymphomas.,"Chemotherapy, radiation, targeted therapy.","Rituximab, bendamustine","Swollen lymph nodes, fever, weight loss"
Hodgkin Lymphoma,A type of lymphoma characterized by the presence of Reed-Sternberg cells.,Chemotherapy and radiation.,"ABVD regimen (Adriamycin, bleomycin, vinblastine, dacarbazine)","Swollen lymph nodes, fatigue, night sweats"
Sarcoma,A group of cancers that begin in the bones and in the soft tissues.,"Surgery, chemotherapy, radiation.","Doxorubicin, ifosfamide","Swelling, pain, or tenderness in the affected area"
Melanoma,"The most serious type of skin cancer, developing from melanocytes.","Surgery, immunotherapy, targeted therapy.","Ipilimumab, nivolumab, vemurafenib","Change in existing moles, new pigmented growths"
Basal Cell Carcinoma,"The most common type of skin cancer, arising from basal cells.","Surgery, topical treatments, radiation.","Imiquimod, 5-fluorouracil","Pearly or waxy bump, flat, flesh-colored lesion"
Squamous Cell Carcinoma,A common form of skin cancer that develops in the squamous cells.,"Surgery, topical treatments, radiation.","Imiquimod, 5-fluorouracil","Firm red nodule, flat sore with a scaly crust"
Carcinoid Tumor,A slow-growing type of neuroendocrine tumor.,"Surgery, hormone therapy, targeted therapy.","Octreotide, everolimus","Flushing, diarrhea, difficulty breathing"
Neuroblastoma,"A cancer that arises from immature nerve cells, most commonly in children.","Surgery, chemotherapy, radiation.","Cyclophosphamide, doxorubicin","Abdominal pain, lumps in the abdomen, bone pain"
Wilms’ Tumor,A rare kidney cancer that primarily affects children.,"Surgery, chemotherapy, radiation.","Dactinomycin, vincristine","Abdominal swelling, abdominal pain, fever"
